PR ID,PR URL,Final Pattern,Final Sub Pattern,Label Source
3034903835,https://github.com/calcom/cal.com/pull/21067,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3034997303,https://github.com/vercel/vercel/pull/13284,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
3039380315,https://github.com/calcom/cal.com/pull/21113,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
3042979666,https://github.com/calcom/cal.com/pull/21137,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),llm_agreement
3046430027,https://github.com/calcom/cal.com/pull/21162,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),manual_review
3046771940,https://github.com/calcom/cal.com/pull/21166,Memory and Data Locality Optimizations,Caching,llm_agreement
3049300237,https://github.com/calcom/cal.com/pull/21192,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),llm_agreement
3049320746,https://github.com/calcom/cal.com/pull/21193,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),llm_agreement
3052357500,https://github.com/appdotbuild/agent/pull/185,No Meaningful Change or Not Performance PR,,manual_review
3053325093,https://github.com/calcom/cal.com/pull/21217,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3053649404,https://github.com/calcom/cal.com/pull/21220,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3061069405,https://github.com/airbytehq/airbyte/pull/60253,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
3070150168,https://github.com/calcom/cal.com/pull/21370,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3070165463,https://github.com/calcom/cal.com/pull/21371,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3070227634,https://github.com/calcom/cal.com/pull/21372,I/O and Synchronization,Enable Multi-threading,manual_review
3070233885,https://github.com/calcom/cal.com/pull/21373,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3070310257,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/29,No Meaningful Change or Not Performance PR,,manual_review
3070322024,https://github.com/calcom/cal.com/pull/21374,I/O and Synchronization,Concurrency Control / Rate Limiting,llm_agreement
3071077630,https://github.com/wieslawsoltes/Xaml.Behaviors/pull/78,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,llm_agreement
3071083444,https://github.com/wieslawsoltes/Xaml.Behaviors/pull/82,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3071827885,https://github.com/mangiucugna/json_repair/pull/120,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3073532077,https://github.com/ryokun6/ryos/pull/50,Memory and Data Locality Optimizations,Caching,manual_review
3073998720,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/367,I/O and Synchronization,Streaming Implementation Or Optimization,llm_agreement
3074606452,https://github.com/robertpenner/as3-signals/pull/74,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3074924091,https://github.com/ryokun6/ryos/pull/57,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3075207290,https://github.com/hyperlight-dev/hyperlight/pull/510,Memory and Data Locality Optimizations,Caching,llm_agreement
3075349977,https://github.com/unibeck/solstatus/pull/55,Build & Compilation & Infrastructure Optimization,Enable Build-Time Optimizations,llm_agreement
3076655992,https://github.com/demergent-labs/azle/pull/3058,Memory and Data Locality Optimizations,Use Smaller Data Types,manual_review
3077061912,https://github.com/calcom/cal.com/pull/21418,Code Smells and Structural Simplification,Remove code bloat by removing optional features,llm_agreement
3077187183,https://github.com/econ-ark/HARK/pull/1562,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,manual_review
3077200502,https://github.com/OWASP-BLT/BLT/pull/4290,Memory and Data Locality Optimizations,Cache Eviction Policy,llm_agreement
3078172167,https://github.com/elixr-games/elics/pull/17,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3078500498,https://github.com/elixr-games/elics/pull/24,I/O and Synchronization,Concurrency Control / Lock Optimization,llm_agreement
3081150843,https://github.com/elixr-games/elics/pull/35,Memory and Data Locality Optimizations,Caching,manual_review
3081695764,https://github.com/dotnet/aspnetcore/pull/62056,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3084608702,https://github.com/calcom/cal.com/pull/21479,I/O and Synchronization,Enable Multi-threading,manual_review
3084684604,https://github.com/elixr-games/elics/pull/39,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3084701052,https://github.com/jnsahaj/tweakcn/pull/97,"Network, Database, and Data Access Optimization",Relational Query Consolidation (N+1),llm_agreement
3084770989,https://github.com/elixr-games/elics/pull/42,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3087062778,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/615,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3087231593,https://github.com/Rello/analytics/pull/469,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3087295315,https://github.com/calcom/cal.com/pull/21497,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,llm_agreement
3087728875,https://github.com/ryokun6/ryos/pull/94,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3089613637,https://github.com/addok/addok/pull/893,Memory and Data Locality Optimizations,Caching,manual_review
3093949496,https://github.com/microsoft/testfx/pull/5654,Memory and Data Locality Optimizations,Caching,llm_agreement
3093995006,https://github.com/microsoft/testfx/pull/5655,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3095454351,https://github.com/calcom/cal.com/pull/21552,Memory and Data Locality Optimizations,Caching,llm_agreement
3096236895,https://github.com/microsoft/HydraLab/pull/694,No Meaningful Change or Not Performance PR,,manual_review
3096249565,https://github.com/microsoft/HydraLab/pull/695,I/O and Synchronization,Concurrency Control / Rate Limiting,llm_agreement
3096300821,https://github.com/dlt-hub/dlt/pull/2691,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,manual_review
3099945080,https://github.com/phel-lang/phel-lang/pull/809,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,manual_review
3101459806,https://github.com/writer/writer-framework/pull/902,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3104378127,https://github.com/gacela-project/gacela/pull/326,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3104406142,https://github.com/phel-lang/phel-lang/pull/823,Memory and Data Locality Optimizations,Caching,llm_agreement
3104463145,https://github.com/ryokun6/ryos/pull/118,Code Smells and Structural Simplification,Remove code bloat by removing optional features,llm_agreement
3104683212,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1245,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3106031006,https://github.com/TypedDevs/bashunit/pull/411,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,manual_review
3106780046,https://github.com/OpenHFT/Chronicle-Core/pull/813,Memory and Data Locality Optimizations,Buffering,manual_review
3106804055,https://github.com/OpenHFT/Chronicle-Core/pull/814,Memory and Data Locality Optimizations,Buffering,manual_review
3107237879,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1332,I/O and Synchronization,Enable Multi-threading,manual_review
3107735616,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1377,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3108570703,https://github.com/OEvortex/Webscout/pull/70,No Meaningful Change or Not Performance PR,,manual_review
3113006799,https://github.com/mlflow/mlflow/pull/16039,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),llm_agreement
3113051088,https://github.com/celestiaorg/rsmt2d/pull/361,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3115186500,https://github.com/static-frame/static-frame/pull/1069,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3116414631,https://github.com/mochilang/mochi/pull/18,Code Smells and Structural Simplification,Remove code bloat by removing optional features,llm_agreement
3116534114,https://github.com/OpenHFT/Chronicle-Bytes/pull/686,No Meaningful Change or Not Performance PR,,manual_review
3117019425,https://github.com/swhan0329/vehicle_speed_estimation/pull/7,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3117777345,https://github.com/mochilang/mochi/pull/39,No Meaningful Change or Not Performance PR,,manual_review
3117839444,https://github.com/mochilang/mochi/pull/41,No Meaningful Change or Not Performance PR,,manual_review
3118377413,https://github.com/mochilang/mochi/pull/59,No Meaningful Change or Not Performance PR,,manual_review
3118392412,https://github.com/mochilang/mochi/pull/60,Code Smells and Structural Simplification,Remove code bloat by removing optional features,llm_agreement
3119099358,https://github.com/tokens-studio/figma-plugin/pull/3412,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3120514991,https://github.com/zpm-zsh/zpm/pull/65,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3120627194,https://github.com/dotnet/msbuild/pull/11953,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3122455352,https://github.com/nearai/nearai/pull/1179,Memory and Data Locality Optimizations,Caching,llm_agreement
3128593850,https://github.com/phellipeandrade/rbac/pull/42,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3128644658,https://github.com/phellipeandrade/rbac/pull/43,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3128738345,https://github.com/mochilang/mochi/pull/207,No Meaningful Change or Not Performance PR,,manual_review
3128867544,https://github.com/mochilang/mochi/pull/214,Memory and Data Locality Optimizations,Caching,llm_agreement
3128873567,https://github.com/mochilang/mochi/pull/215,Memory and Data Locality Optimizations,Caching,llm_agreement
3128898273,https://github.com/mochilang/mochi/pull/217,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3130957636,https://github.com/prebid/Prebid.js/pull/13334,Code Smells and Structural Simplification,Remove code bloat by removing optional features,llm_agreement
3131512724,https://github.com/onlook-dev/onlook/pull/2132,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource,manual_review
3133585449,https://github.com/test-zeus-ai/testzeus-hercules/pull/61,I/O and Synchronization,Concurrency Control / Rate Limiting,llm_agreement
3134374490,https://github.com/microsoft/react-native-windows/pull/14756,"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization,llm_agreement
3134947414,https://github.com/temporalio/temporal/pull/7896,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,manual_review
3135397128,https://github.com/gluesql/glues/pull/146,Code Smells and Structural Simplification,Remove duplicate code,manual_review
3136694740,https://github.com/liam-hq/liam/pull/1985,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3137138306,https://github.com/moonbitlang/core/pull/2253,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3137786825,https://github.com/jodendaal/OpenAI.Net/pull/89,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3137892942,https://github.com/primer/react/pull/6197,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,manual_review
3138324206,https://github.com/elie222/inbox-zero/pull/505,I/O and Synchronization,Concurrency Control / Rate Limiting,llm_agreement
3138341820,https://github.com/moonbitlang/core/pull/2255,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3141942061,https://github.com/moonbitlang/core/pull/2262,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3142207549,https://github.com/moonbitlang/core/pull/2265,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3142406085,https://github.com/moonbitlang/core/pull/2266,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3142771614,https://github.com/moonbitlang/core/pull/2267,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3142986664,https://github.com/mochilang/mochi/pull/484,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,llm_agreement
3146327522,https://github.com/microsoft/onnxruntime/pull/25061,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,manual_review
3146329050,https://github.com/microsoft/onnxruntime/pull/25066,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3146354845,https://github.com/ReactiveCircus/android-emulator-runner/pull/436,No Meaningful Change or Not Performance PR,,manual_review
3146857680,https://github.com/jdereg/java-util/pull/143,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3146870376,https://github.com/jdereg/java-util/pull/146,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3147149820,https://github.com/jdereg/java-util/pull/194,I/O and Synchronization,Polling,llm_agreement
3147340923,https://github.com/web-infra-dev/rspack/pull/10677,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,llm_agreement
3148090723,https://github.com/jaseci-labs/jaseci/pull/2146,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource,manual_review
3148127134,https://github.com/sikanhe/gqtx/pull/79,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3148602658,https://github.com/Yamashou/gqlgenc/pull/289,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3150133933,https://github.com/mochilang/mochi/pull/1134,Code Smells and Structural Simplification,Remove long method by extracting new method,manual_review
3150434121,https://github.com/hikettei/Caten/pull/430,Loop Transformations,Loop Distribution (Fission),manual_review
3151002300,https://github.com/microsoft/kiota/pull/6671,I/O and Synchronization,Non-Blocking I/O,llm_agreement
3151370964,https://github.com/dotnet/msbuild/pull/12025,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,llm_agreement
3151604419,https://github.com/assistant-ui/assistant-ui/pull/2113,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3152003781,https://github.com/liam-hq/liam/pull/2037,"Network, Database, and Data Access Optimization",Minimize Payload Size / Pass Reference Instead of Value,llm_agreement
3152227912,https://github.com/mochilang/mochi/pull/1268,Memory and Data Locality Optimizations,Caching,manual_review
3153634298,https://github.com/remotion-dev/remotion/pull/5403,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
3154548302,https://github.com/carverauto/serviceradar/pull/951,I/O and Synchronization,Concurrency Control / Rate Limiting,manual_review
3154652967,https://github.com/dotnet/sdk/pull/49459,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,llm_agreement
3155001680,https://github.com/sourcebot-dev/sourcebot/pull/357,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),llm_agreement
3155697260,https://github.com/gear-tech/gear/pull/4725,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3158684496,https://github.com/mochilang/mochi/pull/2003,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3158727370,https://github.com/tomhrr/cosh/pull/181,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3160620876,https://github.com/onnx/onnx/pull/7057,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3161909204,https://github.com/ateliee/jquery.schedule/pull/58,Memory and Data Locality Optimizations,Caching,manual_review
3164430964,https://github.com/gensx-inc/gensx/pull/806,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,manual_review
3164482877,https://github.com/calcom/cal.com/pull/21949,"Network, Database, and Data Access Optimization",Relational Query Consolidation (N+1),llm_agreement
3164722645,https://github.com/mochilang/mochi/pull/2457,Code Smells and Structural Simplification,Remove code bloat by removing optional features,llm_agreement
3164738704,https://github.com/mochilang/mochi/pull/2463,No Meaningful Change or Not Performance PR,,manual_review
3164813640,https://github.com/FarmBot/Farmbot-Web-App/pull/2493,Memory and Data Locality Optimizations,Caching,llm_agreement
3166859797,https://github.com/jdereg/java-util/pull/347,Memory and Data Locality Optimizations,Caching,llm_agreement
3167979829,https://github.com/microsoft/genaiscript/pull/1633,Build & Compilation & Infrastructure Optimization,Enable Build-Time Optimizations,llm_agreement
3168164252,https://github.com/amplication/amplication/pull/9794,"Network, Database, and Data Access Optimization",Relational Query Consolidation (N+1),llm_agreement
3168509434,https://github.com/mochilang/mochi/pull/2721,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3168819278,https://github.com/mochilang/mochi/pull/2736,No Meaningful Change or Not Performance PR,,manual_review
3168842951,https://github.com/mochilang/mochi/pull/2739,No Meaningful Change or Not Performance PR,,manual_review
3173779555,https://github.com/faros-ai/airbyte-connectors/pull/2114,I/O and Synchronization,Streaming Implementation Or Optimization,llm_agreement
3175127708,https://github.com/mochilang/mochi/pull/3168,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,manual_review
3176300978,https://github.com/mochilang/mochi/pull/3266,No Meaningful Change or Not Performance PR,,manual_review
3181363640,https://github.com/mochilang/mochi/pull/3611,No Meaningful Change or Not Performance PR,,manual_review
3181712853,https://github.com/mochilang/mochi/pull/3698,No Meaningful Change or Not Performance PR,,manual_review
3184544966,https://github.com/mochilang/mochi/pull/3893,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3185679015,https://github.com/mochilang/mochi/pull/3924,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3185733825,https://github.com/mochilang/mochi/pull/3931,No Meaningful Change or Not Performance PR,,manual_review
3185988908,https://github.com/mochilang/mochi/pull/3943,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,llm_agreement
3186031697,https://github.com/mochilang/mochi/pull/3946,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3186033939,https://github.com/mochilang/mochi/pull/3947,Memory and Data Locality Optimizations,Caching,manual_review
3186037018,https://github.com/mochilang/mochi/pull/3948,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,manual_review
3186037439,https://github.com/mochilang/mochi/pull/3949,Control-Flow and Branching Optimizations,Remove branches by doing extra work,manual_review
3186235764,https://github.com/mochilang/mochi/pull/3969,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186305413,https://github.com/mochilang/mochi/pull/3980,Memory and Data Locality Optimizations,Improve cache locality - spatial locality,llm_agreement
3186318107,https://github.com/mochilang/mochi/pull/3988,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186329921,https://github.com/mochilang/mochi/pull/3992,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186331079,https://github.com/mochilang/mochi/pull/3993,Control-Flow and Branching Optimizations,Rearranging for early return,manual_review
3186332246,https://github.com/mochilang/mochi/pull/3994,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,manual_review
3186346363,https://github.com/mochilang/mochi/pull/3998,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186370979,https://github.com/mochilang/mochi/pull/4001,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186409173,https://github.com/mochilang/mochi/pull/4004,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186433660,https://github.com/mochilang/mochi/pull/4011,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3186657928,https://github.com/eplatonoff/pilorama/pull/89,Algorithm-Level Optimizations,Event-Driven Throttling,llm_agreement
3187015246,https://github.com/mochilang/mochi/pull/4055,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3187229759,https://github.com/mochilang/mochi/pull/4084,Control-Flow and Branching Optimizations,Rearranging for early return,manual_review
3187736538,https://github.com/mochilang/mochi/pull/4150,No Meaningful Change or Not Performance PR,,manual_review
3188612213,https://github.com/mochilang/mochi/pull/4190,Memory and Data Locality Optimizations,Caching,manual_review
3188613267,https://github.com/mochilang/mochi/pull/4193,Memory and Data Locality Optimizations,Caching,manual_review
3188613776,https://github.com/mochilang/mochi/pull/4195,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3188614083,https://github.com/mochilang/mochi/pull/4196,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3188614216,https://github.com/mochilang/mochi/pull/4197,No Meaningful Change or Not Performance PR,,manual_review
3188714494,https://github.com/mochilang/mochi/pull/4202,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3188718282,https://github.com/mochilang/mochi/pull/4206,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3188781479,https://github.com/mochilang/mochi/pull/4228,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3188892969,https://github.com/mochilang/mochi/pull/4253,Control-Flow and Branching Optimizations,Rearranging for early return,manual_review
3189195714,https://github.com/dotnet/runtime/pull/117160,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,llm_agreement
3189294728,https://github.com/prebid/Prebid.js/pull/13460,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3190011828,https://github.com/prebid/Prebid.js/pull/13468,Memory and Data Locality Optimizations,Caching,llm_agreement
3190098735,https://github.com/prebid/Prebid.js/pull/13469,No Meaningful Change or Not Performance PR,,manual_review
3190247421,https://github.com/different-ai/zero-finance/pull/216,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,manual_review
3190320694,https://github.com/mochilang/mochi/pull/4340,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3193183157,https://github.com/Z3Prover/z3/pull/7710,Control-Flow and Branching Optimizations,Rearranging for early return,manual_review
3194284966,https://github.com/vercel/turborepo/pull/10623,I/O and Synchronization,Streaming Implementation Or Optimization,llm_agreement
3196281528,https://github.com/Wtrwx/DYYY/pull/250,Memory and Data Locality Optimizations,Caching,llm_agreement
3197078069,https://github.com/epicweb-dev/restore-scroll/pull/13,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
3198134004,https://github.com/mochilang/mochi/pull/4798,No Meaningful Change or Not Performance PR,,manual_review
3198941408,https://github.com/lunasaw/gb28181-proxy/pull/38,Memory and Data Locality Optimizations,Caching,manual_review
3200679276,https://github.com/JuliaLang/Pkg.jl/pull/4304,"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization,llm_agreement
3200979351,https://github.com/marin-community/marin/pull/1429,Memory and Data Locality Optimizations,Buffering,manual_review
3202402474,https://github.com/mochilang/mochi/pull/5003,Control-Flow and Branching Optimizations,Rearranging for early return,manual_review
3202406874,https://github.com/mochilang/mochi/pull/5004,Control-Flow and Branching Optimizations,Rearranging for early return,manual_review
3202673408,https://github.com/mochilang/mochi/pull/5040,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,manual_review
3202700175,https://github.com/mochilang/mochi/pull/5046,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,llm_agreement
3202763859,https://github.com/mochilang/mochi/pull/5067,No Meaningful Change or Not Performance PR,,manual_review
3204565892,https://github.com/quarylabs/sqruff/pull/1749,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,llm_agreement
3204638990,https://github.com/hmislk/hmis/pull/13695,"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization,llm_agreement
3206323613,https://github.com/mochilang/mochi/pull/5564,No Meaningful Change or Not Performance PR,,manual_review
3206379276,https://github.com/jxxghp/MoviePilot-Frontend/pull/359,Memory and Data Locality Optimizations,Caching,llm_agreement
3206422165,https://github.com/saturday06/VRM-Addon-for-Blender/pull/964,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,llm_agreement
3206743230,https://github.com/ltwlf/json-diff-ts/pull/300,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
3206861578,https://github.com/ltwlf/json-diff-ts/pull/301,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,manual_review
3209964949,https://github.com/ethyca/fides/pull/6310,I/O and Synchronization,Non-Blocking I/O,manual_review
3210728631,https://github.com/mochilang/mochi/pull/6256,Control-Flow and Branching Optimizations,Combining branches,manual_review
3210894862,https://github.com/intelligencedev/manifold/pull/91,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3213281518,https://github.com/getsentry/sentry/pull/95050,I/O and Synchronization,Selection I/O size,llm_agreement
3213528854,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/125,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3213723251,https://github.com/jscarle/LightResults/pull/60,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3213724164,https://github.com/jscarle/LightResults/pull/61,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,llm_agreement
3213728031,https://github.com/jscarle/LightResults/pull/63,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,manual_review
3213730809,https://github.com/jscarle/LightResults/pull/65,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3213747226,https://github.com/jscarle/LightResults/pull/70,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives,llm_agreement
3213750237,https://github.com/jscarle/LightResults/pull/71,Memory and Data Locality Optimizations,Optimize Object Use,llm_agreement
3213850102,https://github.com/jscarle/LightResults/pull/74,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives,llm_agreement
3213857892,https://github.com/jscarle/LightResults/pull/75,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,manual_review
3213876116,https://github.com/jscarle/LightResults/pull/76,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives,llm_agreement
3213895675,https://github.com/jscarle/LightResults/pull/77,Memory and Data Locality Optimizations,Optimize Object Use,manual_review
3214278956,https://github.com/mochilang/mochi/pull/6520,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3214281732,https://github.com/mochilang/mochi/pull/6522,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,manual_review
3214766453,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/132,Memory and Data Locality Optimizations,Caching,llm_agreement
