PR ID,PR URL,Ricardo_Pattern,Ricardo_Sub_Pattern,Huiyun_Pattern,Huiyun_Sub_Pattern,Final_Pattern,Final_Sub_Pattern
3187736538,https://github.com/mochilang/mochi/pull/4150,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3120514991,https://github.com/zpm-zsh/zpm/pull/65,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3206323613,https://github.com/mochilang/mochi/pull/5564,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3185733825,https://github.com/mochilang/mochi/pull/3931,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3245892725,https://github.com/mochilang/mochi/pull/10497,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3245899488,https://github.com/mochilang/mochi/pull/10505,Control-Flow and Branching Optimizations,Rearranging branches,Control-Flow and Branching Optimizations,Rearranging branches,Control-Flow and Branching Optimizations,Rearranging branches
3245927515,https://github.com/mochilang/mochi/pull/10515,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3245957050,https://github.com/mochilang/mochi/pull/10525,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3245970844,https://github.com/mochilang/mochi/pull/10557,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3089613637,https://github.com/addok/addok/pull/893,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3128738345,https://github.com/mochilang/mochi/pull/207,No Meaningful Change or Not Performance PR,,Code Smells and Structural Simplification,Type Checking,No Meaningful Change or Not Performance PR,
3078172167,https://github.com/elixr-games/elics/pull/17,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3186033939,https://github.com/mochilang/mochi/pull/3947,Control-Flow and Branching Optimizations,Rearranging for early return,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3186332246,https://github.com/mochilang/mochi/pull/3994,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3218234090,https://github.com/mochilang/mochi/pull/7196,No Meaningful Change or Not Performance PR,,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3218343296,https://github.com/mochilang/mochi/pull/7207,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3241695471,https://github.com/mochilang/mochi/pull/9440,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3241758610,https://github.com/mochilang/mochi/pull/9484,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3186037018,https://github.com/mochilang/mochi/pull/3948,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
3164738704,https://github.com/mochilang/mochi/pull/2463,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3108570703,https://github.com/OEvortex/Webscout/pull/70,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3217761016,https://github.com/mochilang/mochi/pull/7115,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3217766297,https://github.com/mochilang/mochi/pull/7119,No Meaningful Change or Not Performance PR,,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3198134004,https://github.com/mochilang/mochi/pull/4798,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3240460340,https://github.com/mochilang/mochi/pull/9410,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3164430964,https://github.com/gensx-inc/gensx/pull/806,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Code Smells and Structural Simplification,Remove code bloat by removing optional features,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3087062778,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/615,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3116534114,https://github.com/OpenHFT/Chronicle-Bytes/pull/686,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3168842951,https://github.com/mochilang/mochi/pull/2739,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3168819278,https://github.com/mochilang/mochi/pull/2736,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3117777345,https://github.com/mochilang/mochi/pull/39,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3263278811,https://github.com/mochilang/mochi/pull/13145,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3245509530,https://github.com/mochilang/mochi/pull/10318,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3087231593,https://github.com/Rello/analytics/pull/469,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3202402474,https://github.com/mochilang/mochi/pull/5003,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3202406874,https://github.com/mochilang/mochi/pull/5004,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3202673408,https://github.com/mochilang/mochi/pull/5040,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
3202763859,https://github.com/mochilang/mochi/pull/5067,Code Smells and Structural Simplification,Type Checking,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,No Meaningful Change or Not Performance PR,
3150133933,https://github.com/mochilang/mochi/pull/1134,Code Smells and Structural Simplification,Remove long method by extracting new method,Code Smells and Structural Simplification,Remove long method by extracting new method,Code Smells and Structural Simplification,Remove long method by extracting new method
3148090723,https://github.com/jaseci-labs/jaseci/pull/2146,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource
3071827885,https://github.com/mangiucugna/json_repair/pull/120,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Memory and Data Locality Optimizations,Optimize Object Use,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3154548302,https://github.com/carverauto/serviceradar/pull/951,I/O and Synchronization,Concurrency Control / Rate Limiting,I/O and Synchronization,Concurrency Control / Rate Limiting,I/O and Synchronization,Concurrency Control / Rate Limiting
3234031765,https://github.com/stanford-crfm/levanter/pull/1066,I/O and Synchronization,Selection I/O size,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3240593081,https://github.com/Doriandarko/make-it-heavy/pull/9,I/O and Synchronization,Concurrency Control / Lock Optimization,I/O and Synchronization,Non-Blocking I/O,I/O and Synchronization,Non-Blocking I/O
3073532077,https://github.com/ryokun6/ryos/pull/50,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Caching
3074924091,https://github.com/ryokun6/ryos/pull/57,Memory and Data Locality Optimizations,Optimize Object Use,No Meaningful Change or Not Performance PR,,Memory and Data Locality Optimizations,Optimize Object Use
3104378127,https://github.com/gacela-project/gacela/pull/326,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Optimize Object Use
3096300821,https://github.com/dlt-hub/dlt/pull/2691,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3070310257,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/29,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3104683212,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1245,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3188612213,https://github.com/mochilang/mochi/pull/4190,No Meaningful Change or Not Performance PR,,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Caching
3188613267,https://github.com/mochilang/mochi/pull/4193,No Meaningful Change or Not Performance PR,,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Caching
3188614216,https://github.com/mochilang/mochi/pull/4197,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3188892969,https://github.com/mochilang/mochi/pull/4253,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3267289370,https://github.com/mochilang/mochi/pull/13905,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3241057566,https://github.com/vllm-project/vllm/pull/21146,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Memory and Data Locality Optimizations,Optimize Object Use,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives
3150434121,https://github.com/hikettei/Caten/pull/430,Loop Transformations,Loop Distribution (Fission),Loop Transformations,Loop Fusion,Loop Transformations,Loop Distribution (Fission)
3106031006,https://github.com/TypedDevs/bashunit/pull/411,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
3242396116,https://github.com/mochilang/mochi/pull/9550,Code Smells and Structural Simplification,Type Checking,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,No Meaningful Change or Not Performance PR,
3181363640,https://github.com/mochilang/mochi/pull/3611,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3118377413,https://github.com/mochilang/mochi/pull/59,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3239403987,https://github.com/mochilang/mochi/pull/9329,No Meaningful Change or Not Performance PR,,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,
3117839444,https://github.com/mochilang/mochi/pull/41,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3223908947,https://github.com/mochilang/mochi/pull/7854,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,,Control-Flow and Branching Optimizations,Rearranging for early return
3226180108,https://github.com/stanford-crfm/levanter/pull/1056,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives
3213857892,https://github.com/jscarle/LightResults/pull/75,Memory and Data Locality Optimizations,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3261822593,https://github.com/mochilang/mochi/pull/12900,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3128644658,https://github.com/phellipeandrade/rbac/pull/43,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3200979351,https://github.com/marin-community/marin/pull/1429,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Memory and Data Locality Optimizations,Buffering,Memory and Data Locality Optimizations,Buffering
3187229759,https://github.com/mochilang/mochi/pull/4084,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3246158661,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/212,I/O and Synchronization,Non-Blocking I/O,I/O and Synchronization,Non-Blocking I/O,I/O and Synchronization,Non-Blocking I/O
3141942061,https://github.com/moonbitlang/core/pull/2262,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3257665431,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/220,Memory and Data Locality Optimizations,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3077187183,https://github.com/econ-ark/HARK/pull/1562,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Loop Transformations,Loop Distribution (Fission),Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3218429525,https://github.com/mochilang/mochi/pull/7246,No Meaningful Change or Not Performance PR,,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,No Meaningful Change or Not Performance PR,
3214278956,https://github.com/mochilang/mochi/pull/6520,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove code bloat by removing optional features,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3214281732,https://github.com/mochilang/mochi/pull/6522,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove code bloat by removing optional features,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3146857680,https://github.com/jdereg/java-util/pull/143,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3245861239,https://github.com/mochilang/mochi/pull/10448,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3142207549,https://github.com/moonbitlang/core/pull/2265,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3210728631,https://github.com/mochilang/mochi/pull/6256,Control-Flow and Branching Optimizations,Combining branches,Control-Flow and Branching Optimizations,Combining branches,Control-Flow and Branching Optimizations,Combining branches
3134947414,https://github.com/temporalio/temporal/pull/7896,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3216548273,https://github.com/mochilang/mochi/pull/6882,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3216588034,https://github.com/mochilang/mochi/pull/6900,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3246099511,https://github.com/Rello/audioplayer/pull/634,Code Smells and Structural Simplification,Remove duplicate code,Code Smells and Structural Simplification,Remove duplicate code,Code Smells and Structural Simplification,Remove duplicate code
3186031697,https://github.com/mochilang/mochi/pull/3946,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3227405736,https://github.com/mochilang/mochi/pull/8664,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3210894862,https://github.com/intelligencedev/manifold/pull/91,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3213895675,https://github.com/jscarle/LightResults/pull/77,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3213728031,https://github.com/jscarle/LightResults/pull/63,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls
3217758395,https://github.com/mochilang/mochi/pull/7113,No Meaningful Change or Not Performance PR,,Code Smells and Structural Simplification,Remove code bloat by removing optional features,No Meaningful Change or Not Performance PR,
3131512724,https://github.com/onlook-dev/onlook/pull/2132,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource,Build & Compilation & Infrastructure Optimization,Enable Lazy loading for resource
3190098735,https://github.com/prebid/Prebid.js/pull/13469,No Meaningful Change or Not Performance PR,,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,No Meaningful Change or Not Performance PR,
3175127708,https://github.com/mochilang/mochi/pull/3168,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Loop Transformations,Loop Invariant Branches,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3186037439,https://github.com/mochilang/mochi/pull/3949,Control-Flow and Branching Optimizations,Remove branches by doing extra work,Control-Flow and Branching Optimizations,Remove branches with functional logic,Control-Flow and Branching Optimizations,Remove branches by doing extra work
3099945080,https://github.com/phel-lang/phel-lang/pull/809,Control-Flow and Branching Optimizations,Make Conditional Branches More Predictable,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
3265736885,https://github.com/hmislk/hmis/pull/14205,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3135397128,https://github.com/gluesql/glues/pull/146,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Code Smells and Structural Simplification,Remove duplicate code,Code Smells and Structural Simplification,Remove duplicate code
3106780046,https://github.com/OpenHFT/Chronicle-Core/pull/813,Memory and Data Locality Optimizations,Buffering,Memory and Data Locality Optimizations,Buffering,Memory and Data Locality Optimizations,Buffering
3106804055,https://github.com/OpenHFT/Chronicle-Core/pull/814,Memory and Data Locality Optimizations,Buffering,Memory and Data Locality Optimizations,Buffering,Memory and Data Locality Optimizations,Buffering
3115186500,https://github.com/static-frame/static-frame/pull/1069,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3181712853,https://github.com/mochilang/mochi/pull/3698,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3081150843,https://github.com/elixr-games/elics/pull/35,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3176300978,https://github.com/mochilang/mochi/pull/3266,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3206861578,https://github.com/ltwlf/json-diff-ts/pull/301,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3238396793,https://github.com/mochilang/mochi/pull/9165,Control-Flow and Branching Optimizations,Rearranging for early return,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Control-Flow and Branching Optimizations,Rearranging for early return
3238582253,https://github.com/mochilang/mochi/pull/9213,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3238674493,https://github.com/mochilang/mochi/pull/9244,Code Smells and Structural Simplification,Type Checking,Control-Flow and Branching Optimizations,Rearranging branches,No Meaningful Change or Not Performance PR,
3238720815,https://github.com/mochilang/mochi/pull/9252,Code Smells and Structural Simplification,Type Checking,Code Smells and Structural Simplification,Replace Reflection with Direct Method Calls,No Meaningful Change or Not Performance PR,
3238723742,https://github.com/mochilang/mochi/pull/9253,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3238737226,https://github.com/mochilang/mochi/pull/9260,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3238739331,https://github.com/mochilang/mochi/pull/9262,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,
3186331079,https://github.com/mochilang/mochi/pull/3993,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3198941408,https://github.com/lunasaw/gb28181-proxy/pull/38,Multiple Changes,,Multiple Changes,,Memory and Data Locality Optimizations,Caching
3219981823,https://github.com/zws-im/zws/pull/856,Control-Flow and Branching Optimizations,Combining branches,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Control-Flow and Branching Optimizations,Combining branches
3190247421,https://github.com/different-ai/zero-finance/pull/216,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3217652543,https://github.com/gmathi/NovelLibrary/pull/244,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Enable Build-Time Optimizations,Build & Compilation & Infrastructure Optimization,Enable Build-Time Optimizations
3087728875,https://github.com/ryokun6/ryos/pull/94,Memory and Data Locality Optimizations,Optimize Object Use,Code Smells and Structural Simplification,Remove duplicate code,Memory and Data Locality Optimizations,Optimize Object Use
3215330137,https://github.com/nnstreamer/nntrainer/pull/3312,I/O and Synchronization,,I/O and Synchronization,,I/O and Synchronization,Enable Multi-threading
3217675934,https://github.com/gmathi/NovelLibrary/pull/246,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Multiple Changes,,Build & Compilation & Infrastructure Optimization,Enable Build-Time Optimizations
3217742863,https://github.com/gmathi/NovelLibrary/pull/247,Multiple Changes,,Multiple Changes,,Memory and Data Locality Optimizations,Caching
3209964949,https://github.com/ethyca/fides/pull/6310,I/O and Synchronization,Non-Blocking I/O,I/O and Synchronization,Non-Blocking I/O,I/O and Synchronization,Non-Blocking I/O
3242666013,https://github.com/ohcnetwork/care_fe/pull/12979,Code Smells and Structural Simplification,Remove duplicate code,Code Smells and Structural Simplification,Remove duplicate code,Code Smells and Structural Simplification,Remove duplicate code
2973653748,https://github.com/magiclabs/magic-js/pull/874,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection
3084608702,https://github.com/calcom/cal.com/pull/21479,I/O and Synchronization,,I/O and Synchronization,,I/O and Synchronization,Enable Multi-threading
3006507938,https://github.com/saturday06/VRM-Addon-for-Blender/pull/796,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3053649404,https://github.com/calcom/cal.com/pull/21220,No Meaningful Change or Not Performance PR,,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
