PR ID,PR URL,Ricardo_Pattern,Ricardo_Sub_Pattern,Huiyun_Pattern,Huiyun_Sub_Pattern,Final_Pattern,Final_Sub_Pattern
2616290996,https://github.com/roboflow/inference/pull/1385,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
2356811134,https://github.com/gofiber/fiber/pull/3329,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection
2607579182,https://github.com/gofiber/fiber/pull/3532,Code Smells and Structural Simplification,Remove long method by extracting new method,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove long method by extracting new method
2519312120,https://github.com/netket/netket/pull/2040,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
2558083620,https://github.com/bionic-gpt/bionic-gpt/pull/776,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
2615702170,https://github.com/bruin-data/ingestr/pull/264,I/O and Synchronization,,I/O and Synchronization,Non-Blocking I/O,I/O and Synchronization,Concurrency Control / Rate Limiting
2542615571,https://github.com/joamag/boytacean/pull/10,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Memory and Data Locality Optimizations,Caching,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
2527565003,https://github.com/Kanaries/graphic-walker/pull/443,Data Structure Selection and Adaptation,Choose Data Structure for Energy Efficiency,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
2524180167,https://github.com/mangiucugna/json_repair/pull/112,Control-Flow and Branching Optimizations,Rearranging for early return,No Meaningful Change or Not Performance PR,,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
2524313861,https://github.com/mangiucugna/json_repair/pull/115,Control-Flow and Branching Optimizations,Rearranging for early return,Memory and Data Locality Optimizations,Optimize Object Use,Control-Flow and Branching Optimizations,Rearranging for early return
2369253951,https://github.com/joshyattridge/smart-money-concepts/pull/75,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
2354104157,https://github.com/AFASSoftware/maquette/pull/193,Control-Flow and Branching Optimizations,Combining branches,Code Smells and Structural Simplification,Remove code bloat by removing optional features,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
2617294066,https://github.com/appsmithorg/appsmith/pull/41033,Multiple Changes,,Multiple Changes,,I/O and Synchronization,Enable Multi-threading
2398828721,https://github.com/appsmithorg/appsmith/pull/39757,I/O and Synchronization,,I/O and Synchronization,,I/O and Synchronization,Enable Multi-threading
2336988355,https://github.com/beyond-all-reason/Beyond-All-Reason/pull/4336,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
2590261382,https://github.com/microsoft/vscode/pull/251382,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
2452691617,https://github.com/dotnet/runtime/pull/114517,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
2483117033,https://github.com/dotnet/fsharp/pull/18509,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
2596620305,https://github.com/microsoft/qsharp/pull/2530,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection
2394225726,https://github.com/stack-auth/stack-auth/pull/546,I/O and Synchronization,Concurrency Control / Lock Optimization,I/O and Synchronization,Concurrency Control / Lock Optimization,I/O and Synchronization,Concurrency Control / Lock Optimization
2432868443,https://github.com/calcom/cal.com/pull/20496,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
2392888093,https://github.com/calcom/cal.com/pull/20080,Code Smells and Structural Simplification,,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection
2353668916,https://github.com/calcom/cal.com/pull/19491,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
2604024784,https://github.com/calcom/cal.com/pull/21923,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
2496617006,https://github.com/GlareDB/glaredb/pull/3762,No Meaningful Change or Not Performance PR,,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives,Build & Compilation & Infrastructure Optimization,Compiler Optimization Hints/Directives
2604162624,https://github.com/antiwork/gumroad/pull/361,I/O and Synchronization,Selection I/O size,I/O and Synchronization,Selection I/O size,I/O and Synchronization,Selection I/O size
2560305820,https://github.com/antiwork/gumroad/pull/289,Memory and Data Locality Optimizations,Optimize Object Use,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection
2441809617,https://github.com/antiwork/gumroad/pull/56,I/O and Synchronization,Selection I/O size,"Network, Database, and Data Access Optimization",,I/O and Synchronization,Selection I/O size
2297969098,https://github.com/yamadashy/repomix/pull/309,I/O and Synchronization,,I/O and Synchronization,,I/O and Synchronization,Enable Multi-threading
2398994327,https://github.com/medplum/medplum/pull/6182,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
